ID;Status;Type;Lenght;Managed by;Municipality;Google Maps;Geographical coordinates;Geo Shape
501;active;Voirie;2.0;Régional;Schaerbeek Schaarbeek;https://www.google.com/maps/search/?api=1&query=50.868624439149066%2C4.384450415426569;50.868624439149066, 4.384450415426569;"{""coordinates"": [4.384450415426569, 50.868624439149066], ""type"": ""Point""}"
507;active;Voirie;2.0;Régional;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.81882820408789%2C4.415956408138183;50.81882820408789, 4.415956408138183;"{""coordinates"": [4.415956408138183, 50.81882820408789], ""type"": ""Point""}"
508;active;Trottoir;2.0;Régional;Saint-Gilles Sint-Gillis;https://www.google.com/maps/search/?api=1&query=50.83591597770722%2C4.338022804559227;50.83591597770722, 4.338022804559227;"{""coordinates"": [4.338022804559227, 50.83591597770722], ""type"": ""Point""}"
516;active;Voirie;2.0;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.82673543596077%2C4.364838972141174;50.82673543596077, 4.364838972141174;"{""coordinates"": [4.364838972141174, 50.82673543596077], ""type"": ""Point""}"
529;active;Voirie;2.0;Régional;Schaerbeek Schaarbeek;https://www.google.com/maps/search/?api=1&query=50.869868433363706%2C4.41928557763302;50.869868433363706, 4.41928557763302;"{""coordinates"": [4.41928557763302, 50.869868433363706], ""type"": ""Point""}"
536;active;Voirie;1.8;Régional;Uccle Ukkel;https://www.google.com/maps/search/?api=1&query=50.82039557948552%2C4.3255351157580515;50.82039557948552, 4.3255351157580515;"{""coordinates"": [4.325535115758051, 50.82039557948552], ""type"": ""Point""}"
538;active;Voirie;2.0;Régional;Uccle Ukkel;https://www.google.com/maps/search/?api=1&query=50.80971135428838%2C4.31326280106071;50.80971135428838, 4.31326280106071;"{""coordinates"": [4.31326280106071, 50.80971135428838], ""type"": ""Point""}"
546;active;Voirie;1.8;Régional;Molenbeek-Saint-Jean Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.877818982916594%2C4.332175056729356;50.877818982916594, 4.332175056729356;"{""coordinates"": [4.332175056729356, 50.877818982916594], ""type"": ""Point""}"
547;active;Trottoir;1.8;Régional;Molenbeek-Saint-Jean Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.892952076670106%2C4.313545148418486;50.892952076670106, 4.313545148418486;"{""coordinates"": [4.313545148418486, 50.892952076670106], ""type"": ""Point""}"
559;active;Voirie;1.8;Régional;Molenbeek-Saint-Jean Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.87011796603302%2C4.33491881743073;50.87011796603302, 4.33491881743073;"{""coordinates"": [4.33491881743073, 50.87011796603302], ""type"": ""Point""}"
572;active;Trottoir;2.0;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.873961004588175%2C4.3622369727944;50.873961004588175, 4.3622369727944;"{""coordinates"": [4.3622369727944, 50.873961004588175], ""type"": ""Point""}"
573;active;Trottoir;2.0;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.89058211170045%2C4.393615092668993;50.89058211170045, 4.393615092668993;"{""coordinates"": [4.393615092668993, 50.89058211170045], ""type"": ""Point""}"
576;active;Voirie;1.8;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.879088989937074%2C4.370257932202994;50.879088989937074, 4.370257932202994;"{""coordinates"": [4.370257932202994, 50.879088989937074], ""type"": ""Point""}"
583;active;Voirie;2.0;Régional;Molenbeek-Saint-Jean Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.87709996427892%2C4.317629660186522;50.87709996427892, 4.317629660186522;"{""coordinates"": [4.317629660186522, 50.87709996427892], ""type"": ""Point""}"
584;active;Voirie;2.0;Régional;Molenbeek-Saint-Jean Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.87424631162637%2C4.318401977626948;50.87424631162637, 4.318401977626948;"{""coordinates"": [4.318401977626948, 50.87424631162637], ""type"": ""Point""}"
586;active;Trottoir;1.8;Régional;Molenbeek-Saint-Jean Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.871706315408254%2C4.2993862715215565;50.871706315408254, 4.2993862715215565;"{""coordinates"": [4.299386271521557, 50.871706315408254], ""type"": ""Point""}"
590;active;Voirie;1.8;Régional;Schaerbeek Schaarbeek;https://www.google.com/maps/search/?api=1&query=50.85232097210936%2C4.387057758228151;50.85232097210936, 4.387057758228151;"{""coordinates"": [4.387057758228151, 50.85232097210936], ""type"": ""Point""}"
593;active;Voirie;1.8;Régional;Schaerbeek Schaarbeek;https://www.google.com/maps/search/?api=1&query=50.84751468429322%2C4.39599887451837;50.84751468429322, 4.39599887451837;"{""coordinates"": [4.39599887451837, 50.84751468429322], ""type"": ""Point""}"
597;active;Trottoir;2.0;Régional;Schaerbeek Schaarbeek;https://www.google.com/maps/search/?api=1&query=50.86955325931053%2C4.364980098146216;50.86955325931053, 4.364980098146216;"{""coordinates"": [4.364980098146216, 50.86955325931053], ""type"": ""Point""}"
598;active;Voirie;1.8;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.84610485446357%2C4.394129007471073;50.84610485446357, 4.394129007471073;"{""coordinates"": [4.394129007471073, 50.84610485446357], ""type"": ""Point""}"
602;active;Voirie;2.0;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.89865776938359%2C4.347046160169557;50.89865776938359, 4.347046160169557;"{""coordinates"": [4.347046160169557, 50.89865776938359], ""type"": ""Point""}"
